Number of Files,MSE,Name
5,-4.728523053,"La Fleur et al, Urtecho et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.770107395,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-4.21537946,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-3.754061833,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-4.331212278,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-3.859606128,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-4.210215605,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.730971219,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-4.631951842,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-3.524356807,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-3.963304078,"La Fleur et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
5,-4.308450473,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-4.81106561,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.704163633,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-3.908873231,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.546263994,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-2.803013183,"La Fleur et al, Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-3.432383755,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.4339646,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.024468442,"La Fleur et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.828674623,"La Fleur et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.478327554,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.826076704,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.616660316,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.274406358,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.283709596,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-4.286760555,"La Fleur et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.164196984,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.312677917,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.680987048,"La Fleur et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.962943382,"La Fleur et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.16700985,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.329406583,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.369041999,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.296537592,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.30027768,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.77404496,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-3.909565681,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-3.729820656,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-4.065699342,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-4.755798999,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-4.112645596,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.174772534,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-4.018479711,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-4.472121835,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-4.095356998,"Urtecho et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
5,-3.950931945,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.805096109,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
