upstream_length,downstream_length,mse,r2
30,33,1.0984331894871506,0.5375645231958566
12,33,1.0984331894871506,0.5375645231958566
32,33,1.0984331894871506,0.5375645231958566
42,33,1.0984331894871506,0.5375645231958566
59,33,1.0984331894871506,0.5375645231958566
21,33,1.0984331894871506,0.5375645231958566
31,33,1.0984331894871506,0.5375645231958566
0,33,1.0984331894871506,0.5375645231958566
37,33,1.0984331894871506,0.5375645231958566
2,33,1.0984331894871506,0.5375645231958566
34,33,1.0984331894871506,0.5375645231958566
4,33,1.0984331894871506,0.5375645231958566
55,33,1.0984331894871506,0.5375645231958566
66,33,1.0984331894871506,0.5375645231958566
54,33,1.0984331894871506,0.5375645231958566
9,33,1.0984331894871506,0.5375645231958566
53,33,1.0984331894871506,0.5375645231958566
62,33,1.0984331894871506,0.5375645231958566
45,33,1.0984331894871506,0.5375645231958566
20,33,1.0984331894871506,0.5375645231958566
29,33,1.0984331894871506,0.5375645231958566
58,33,1.0984331894871506,0.5375645231958566
49,33,1.0984331894871506,0.5375645231958566
26,33,1.0984331894871506,0.5375645231958566
48,33,1.0984331894871506,0.5375645231958566
51,33,1.0984331894871506,0.5375645231958566
17,33,1.0984331894871506,0.5375645231958566
47,33,1.0984331894871506,0.5375645231958566
41,33,1.0984331894871506,0.5375645231958566
8,33,1.0984331894871506,0.5375645231958566
22,33,1.0984331894871506,0.5375645231958566
6,33,1.0984331894871506,0.5375645231958566
18,33,1.0984331894871506,0.5375645231958566
33,33,1.0984331894871506,0.5375645231958566
50,33,1.0984331894871506,0.5375645231958566
13,33,1.0984331894871506,0.5375645231958566
57,33,1.0984331894871506,0.5375645231958566
67,33,1.0984331894871506,0.5375645231958566
19,33,1.0984331894871506,0.5375645231958566
56,33,1.0984331894871506,0.5375645231958566
23,33,1.0984331894871506,0.5375645231958566
43,33,1.0984331894871506,0.5375645231958566
10,33,1.0984331894871506,0.5375645231958566
39,33,1.0984331894871506,0.5375645231958566
36,33,1.0984331894871506,0.5375645231958566
38,33,1.0984331894871506,0.5375645231958566
1,33,1.0984331894871506,0.5375645231958566
65,33,1.0984331894871506,0.5375645231958566
44,33,1.0984331894871506,0.5375645231958566
3,33,1.0984331894871506,0.5375645231958566
27,33,1.0984331894871506,0.5375645231958566
14,33,1.0984331894871506,0.5375645231958566
61,33,1.0984331894871506,0.5375645231958566
24,33,1.0984331894871506,0.5375645231958566
46,33,1.0984331894871506,0.5375645231958566
61,20,1.0978533430197086,0.5378086359741402
93,10,1.0975624936242687,0.5379310822732376
77,39,1.0966332187018581,0.5383223028735798
54,10,1.0960334721452634,0.5385747935006977
86,10,1.0940554286790931,0.5394075409833596
70,34,1.093493844548424,0.5396439653992613
76,38,1.0921760219795091,0.5401987628269356
72,27,1.0915576620093839,0.5404590896181853
88,10,1.0889082206967942,0.5415744926016148
13,38,1.0882967015391636,0.5418319394412955
26,38,1.0882967015391636,0.5418319394412955
36,38,1.0882967015391636,0.5418319394412955
12,38,1.0882967015391636,0.5418319394412955
58,38,1.0882967015391636,0.5418319394412955
44,38,1.0882967015391636,0.5418319394412955
